[Gene ID]	[Transcript ID]	[Gene Name or Symbol]	[Previous ID(s)]	
TGME49_200010	TGME49_200010-t26_1	N/A	Previous IDs: 1.m00014, 1923.t000245, TGME49_000010, TgGlmHMM_2587, TgTigrScan_5722, mrna.TGME49_000010A, tigr:cds.TGME49_000010A<br>	
TGME49_200110	TGME49_200110-t26_1	N/A	Previous IDs: 1923.t000910, 2.m00067, TGME49_000110, TgGlmHMM_2589, TgTigrScan_0544, TgTwinScan_2352, mrna.TGME49_000110A, tigr:cds.TGME49_000110A<br>	
TGME49_200130	TGME49_200130-t26_1	N/A	Previous IDs: 1923.t000909, TGME49_000130, TgGlmHMM_2590, TgTwinScan_2355, mrna.TGME49_000130A, tigr:cds.TGME49_000130A<br>	
TGME49_200230	TGME49_200230-t26_1	MIC17C	Previous IDs: 1933.t000980, 8.m00176, TGME49_000230, TgGLEAN_5657, TgGlmHMM_2593, TgTigrScan_4897, TgTwinScan_2357, mrna.TGME49_000230A, tigr:cds.TGME49_000230A<br>	
TGME49_200240	TGME49_200240-t26_1	MIC17B	Previous IDs: 1933.t000027, 8.m00177, TGME49_000240, TgGLEAN_5656, TgGlmHMM_2593, TgTigrScan_4898, TgTwinScan_2358, mrna.TGME49_000240A, tigr:cds.TGME49_000240A<br>	
TGME49_200250	TGME49_200250-t26_1	MIC17A	Previous IDs: 1933.t000026, 8.m00178, TGME49_000250, TgGLEAN_5655, TgGlmHMM_2593, TgTigrScan_4899, TgTwinScan_2359, mrna.TGME49_000250A, tigr:cds.TGME49_000250A<br>	
TGME49_200260	TGME49_200260-t26_1	N/A	Previous IDs: 1933.t000025, TGME49_000260, mrna.TGME49_000260A, tigr:cds.TGME49_000260A<br>	
TGME49_200270	TGME49_200270-t26_1	N/A	Previous IDs: 1933.t000024, 8.m00179, TGME49_000270, TgGLEAN_5658, TgGlmHMM_2595, TgTigrScan_4901, TgTwinScan_2361, mrna.TGME49_000270A, tigr:cds.TGME49_000270A<br>	
TGME49_200280	TGME49_200280-t26_1	N/A	Previous IDs: 1933.t000023, 8.m00180, TGME49_000280, TgGLEAN_5653, TgGlmHMM_2596, TgTigrScan_4902, TgTwinScan_2362, mrna.TGME49_000280A, tigr:cds.TGME49_000280A<br>	
TGME49_200290	TGME49_200290-t26_1	ROM1	Previous IDs: 1933.t000022, 8.m00181, TGME49_000290, TgGLEAN_5660, TgGlmHMM_2597, TgTigrScan_4904, TgTwinScan_2363, mrna.TGME49_000290A, tigr:cds.TGME49_000290A<br>	
TGME49_200295	TGME49_200295-t26_1	N/A	Previous IDs: 1933.t000021, TGME49_000295<br>	
TGME49_200300	TGME49_200300-t26_1	N/A	Previous IDs: 1933.t000020, TGME49_000300, TgGLEAN_5652, TgGlmHMM_2598, TgTigrScan_4905, mrna.TGME49_000300A, tigr:cds.TGME49_000300A<br>	
TGME49_200310	TGME49_200310-t26_1	N/A	Previous IDs: 1933.t000019, 8.m00182, TGME49_000310, TgGLEAN_5651, TgGlmHMM_2598, TgTigrScan_4906, TgTwinScan_2365, mrna.TGME49_000310A, tigr:cds.TGME49_000310A<br>	
TGME49_200320	TGME49_200320-t26_1	HXGPRT	Previous IDs: 1933.t000018, 8.m00002, TGME49_000320, TgGLEAN_5661, TgGlmHMM_2599, TgTigrScan_4907, TgTwinScan_2366, mrna.TGME49_000320A, tigr:cds.TGME49_000320A<br>	
TGME49_200330	TGME49_200330-t26_1	N/A	Previous IDs: 1933.t000017, 8.m00184, TGME49_000330, TgGLEAN_5649, TgGLEAN_5650, TgGlmHMM_2600, TgTigrScan_4909, TgTwinScan_2367, mrna.TGME49_000330A, tigr:cds.TGME49_000330A<br>	
TGME49_200340	TGME49_200340-t26_1	N/A	Previous IDs: 1933.t000016, 8.m00375, TGME49_000340, mrna.TGME49_000340A, tigr:cds.TGME49_000340A<br>	
TGME49_200350	TGME49_200350-t26_1	SUB3	Previous IDs: 1933.t000015, 8.m00185, TGME49_000350, TgGLEAN_5663, TgGlmHMM_2601, TgTigrScan_4910, TgTwinScan_2368, mrna.TGME49_000350A, tigr:cds.TGME49_000350A<br>	
TGME49_200360	TGME49_200360-t26_1	N/A	Previous IDs: 1933.t000014, 8.m00004, TGME49_000360, TgGLEAN_5664, TgGlmHMM_2602, TgTigrScan_4912, mrna.TGME49_000360A, tigr:cds.TGME49_000360A<br>	
TGME49_200370	TGME49_200370-t26_1	N/A	Previous IDs: 1933.t000013, 8.m00187, TGME49_000370, TgGLEAN_5648, TgGlmHMM_2603, TgTigrScan_4913, TgTwinScan_2369, mrna.TGME49_000370A, tigr:cds.TGME49_000370A<br>	
TGME49_200375	TGME49_200375-t26_1	N/A	Previous IDs: 1933.t000012, TGME49_000375<br>	
TGME49_200385	TGME49_200385-t26_1	N/A	Previous IDs: 1933.t000011, 8.m00188, 8.m00189, TGME49_000380, TGME49_000390, TgGLEAN_5644, TgGLEAN_5645, TgGLEAN_5646, TgGLEAN_5647, TgGlmHMM_2604, TgTigrScan_4914, TgTigrScan_4915, TgTigrScan_4916, TgTwinScan_2370, mrna.TGME49_000380A, mrna.TGME49_000390A, tigr:cds.TGME49_000380A, tigr:cds.TGME49_000390A<br>	
TGME49_200400	TGME49_200400-t26_1	N/A	Previous IDs: 1933.t000010, 8.m00190, TGME49_000400, TgGLEAN_5643, TgGlmHMM_2605, TgTigrScan_4918, TgTwinScan_2371, mrna.TGME49_000400A, tigr:cds.TGME49_000400A<br>	
TGME49_200410	TGME49_200410-t26_1	N/A	Previous IDs: 1933.t000009, 8.m00280, TGME49_000410, TgGLEAN_5642, TgGlmHMM_2605, TgTigrScan_4919, TgTwinScan_2372, mrna.TGME49_000410A, tigr:cds.TGME49_000410A<br>	
TGME49_200430	TGME49_200430-t26_1	N/A	Previous IDs: 1933.t000008, 8.m00191, TGME49_000430, TgGLEAN_5640, TgGlmHMM_2605, TgTigrScan_4920, TgTwinScan_2374, mrna.TGME49_000430A, tigr:cds.TGME49_000430A<br>	
TGME49_200440	TGME49_200440-t26_1	N/A	Previous IDs: 1933.t000007, 8.m00192, TGME49_000440, TgGLEAN_5666, TgGlmHMM_2607, TgTigrScan_4921, TgTwinScan_2375, mrna.TGME49_000440A, tigr:cds.TGME49_000440A<br>	
TGME49_200450	TGME49_200450-t26_1	N/A	Previous IDs: 1933.t000006, 8.m00374, TGME49_000450, TgGLEAN_5638, TgGlmHMM_2608, TgTigrScan_4922, mrna.TGME49_000450A, tigr:cds.TGME49_000450A<br>	
TGME49_200460	TGME49_200460-t26_1	N/A	Previous IDs: 1933.t000005, 8.m00193, 8.m00279, TGME49_000460, TgGLEAN_5636, TgGLEAN_5637, TgGlmHMM_2608, TgTigrScan_4923, TgTigrScan_4924, TgTigrScan_4925, TgTwinScan_2376, mrna.TGME49_000460A, tigr:cds.TGME49_000460A<br>	
