[Gene ID]	[Fold Change]	[Chosen Comp (log2)]	[Chosen Ref (log2)]	[Previous ID(s)]	
TGME49_200010	1.1	0.11	0.02	1.m00014, 1923.t000245, TGME49_000010, TgGlmHMM_2587, TgTigrScan_5722, mrna.TGME49_000010A, tigr:cds.TGME49_000010A	
TGME49_200110	1	0.43	0.41	1923.t000910, 2.m00067, TGME49_000110, TgGlmHMM_2589, TgTigrScan_0544, TgTwinScan_2352, mrna.TGME49_000110A, tigr:cds.TGME49_000110A	
TGME49_200130	1	6.4	6.37	1923.t000909, TGME49_000130, TgGlmHMM_2590, TgTwinScan_2355, mrna.TGME49_000130A, tigr:cds.TGME49_000130A	
TGME49_200230	-1.2	2.54	2.76	1933.t000980, 8.m00176, TGME49_000230, TgGLEAN_5657, TgGlmHMM_2593, TgTigrScan_4897, TgTwinScan_2357, mrna.TGME49_000230A, tigr:cds.TGME49_000230A	
TGME49_200240	-1.4	6.95	7.47	1933.t000027, 8.m00177, TGME49_000240, TgGLEAN_5656, TgGlmHMM_2593, TgTigrScan_4898, TgTwinScan_2358, mrna.TGME49_000240A, tigr:cds.TGME49_000240A	
TGME49_200250	1.9	10.57	9.66	1933.t000026, 8.m00178, TGME49_000250, TgGLEAN_5655, TgGlmHMM_2593, TgTigrScan_4899, TgTwinScan_2359, mrna.TGME49_000250A, tigr:cds.TGME49_000250A	
TGME49_200260	1.7	2.54	1.75	1933.t000025, TGME49_000260, mrna.TGME49_000260A, tigr:cds.TGME49_000260A	
TGME49_200270	-16.1	6.11	10.11	1933.t000024, 8.m00179, TGME49_000270, TgGLEAN_5658, TgGlmHMM_2595, TgTigrScan_4901, TgTwinScan_2361, mrna.TGME49_000270A, tigr:cds.TGME49_000270A	
TGME49_200280	-1.4	3.33	3.84	1933.t000023, 8.m00180, TGME49_000280, TgGLEAN_5653, TgGlmHMM_2596, TgTigrScan_4902, TgTwinScan_2362, mrna.TGME49_000280A, tigr:cds.TGME49_000280A	
TGME49_200290	-1.2	5.76	6.01	1933.t000022, 8.m00181, TGME49_000290, TgGLEAN_5660, TgGlmHMM_2597, TgTigrScan_4904, TgTwinScan_2363, mrna.TGME49_000290A, tigr:cds.TGME49_000290A	
TGME49_200295	-1.5	3.36	3.98	1933.t000021, TGME49_000295	
TGME49_200300	-1.8	3.24	4.07	1933.t000020, TGME49_000300, TgGLEAN_5652, TgGlmHMM_2598, TgTigrScan_4905, mrna.TGME49_000300A, tigr:cds.TGME49_000300A	
TGME49_200310	-1.1	7.79	7.98	1933.t000019, 8.m00182, TGME49_000310, TgGLEAN_5651, TgGlmHMM_2598, TgTigrScan_4906, TgTwinScan_2365, mrna.TGME49_000310A, tigr:cds.TGME49_000310A	
TGME49_200320	1.4	10.59	10.11	1933.t000018, 8.m00002, TGME49_000320, TgGLEAN_5661, TgGlmHMM_2599, TgTigrScan_4907, TgTwinScan_2366, mrna.TGME49_000320A, tigr:cds.TGME49_000320A	
